country,Strength of legal rights index,"Wage and salaried workers, total (% of total employment)","Vulnerable employment, total (% of total employment)",GDP per capita (current US$),decent_work_score
"Congo, Dem. Rep.",6.0,42.6349983215332,53.5319995880127,444.410334598663,2.005588412408595
"Congo, Rep.",6.0,23.5930004119873,74.890998840332,1528.24472001004,2.2142301091882186
Costa Rica,10.0,78.2119979858398,14.0140000879764,11732.7105484757,2.6716362747315556
Cote d'Ivoire,6.0,24.6590003967285,73.3579978942871,1535.06812143674,2.200039381984403
Croatia,5.0,86.0709991455078,8.72899985313415,12298.5703473839,2.1309724199688977
Cyprus,7.0,85.5530014038086,12.59099984169,23541.4882484476,2.921748134758851
Czech Republic,7.0,82.8190002441406,14.032999753952,18483.7164797716,2.688948590050459
Denmark,8.0,90.9160003662109,5.65300005674362,53578.7565680928,4.3327418907908655
Djibouti,1.0,58.3880004882813,39.1859998703003,1872.23462294105,1.4343696195748052
Dominican Republic,1.0,55.5979995727539,41.1309996843338,6793.53812543935,1.6609366132135133
Ecuador,1.0,51.7270011901855,45.0390014648438,6018.52686848782,1.6511421547489253
"Egypt, Arab Rep.",2.0,69.2070007324219,20.217999458313,3479.28124621174,1.415419482725094
El Salvador,9.0,59.9799995422363,35.9690003395081,3768.83770478833,2.3771016126678175
Equatorial Guinea,6.0,59.5890007019043,35.9389991760253,9217.88952758682,2.284064961906649
Estonia,7.0,90.5039978027344,5.6090000718832,17736.8026953521,2.593973057890507
Eswatini,4.0,79.3980026245117,19.1100006699562,2770.19947507562,1.6917167071360353
Ethiopia,3.0,11.2419996261597,88.1749992370605,712.877949961138,1.9362425211199044
Fiji,5.0,60.2389984130859,38.3079996109009,5197.50913987692,2.0360508195692755
Finland,7.0,85.9349975585938,10.0059997439384,43433.032224358,3.78321628071557
France,4.0,88.0849990844727,7.60700008273125,36870.2191344563,3.133189443920474
Gabon,6.0,65.8679962158203,31.9999996423721,7078.68326044761,2.185842625648574
"Gambia, The",8.0,27.0470008850098,71.2269983291626,472.306438160201,2.3644260339006546
Georgia,9.0,42.4329986572266,56.4349994659424,3865.78569412489,2.5414841078202826
